k,description_short,cluster_kmeans,cluster_agg,log_world_import,median_world_demand_growth,median_global_demand_log,log_n_markets,mean_market_penetration,opportunity_rate,world_import_slope
030224,"Fish: fresh or chilled, turbots (Psetta maxima, Scophthalmid",0,0,19.110914168670707,0.012622116364575664,11.603157174089539,5.429345628954441,0.0,0.2026431718061674,0.03571345496621544
030229,"Fish: fresh or chilled, flat fish, n.e.c. in item no. 0302.2",0,0,20.424237755410218,-0.015538596689191775,12.93037902437311,5.429345628954441,0.00011694820092711187,0.20154185022026433,-0.03862453681854607
030231,"Fish: fresh or chilled, albacore or longfinned tunas (Thunnu",0,0,18.81278605160835,0.025965377282387903,11.310330977534147,5.429345628954441,1.387631041166103e-06,0.20209251101321585,-0.022013399775115242
030232,"Fish: fresh or chilled, yellowfin tunas (Thunnus albacares),",0,0,20.4868376187993,-0.01881959122388721,12.988114889454268,5.429345628954441,0.0,0.2026431718061674,-0.02386558602188223
030233,"Fish: fresh or chilled, skipjack or stripe-bellied bonito, e",0,0,17.463843446550992,-0.07862275843881855,9.341299417295655,5.429345628954441,0.0,0.2026431718061674,0.04241277323745921
030234,"Fish: fresh or chilled, bigeye tunas (Thunnus obesus), exclu",0,0,19.529037538167657,-0.08660392325040178,12.018960645674639,5.429345628954441,0.0,0.2026431718061674,-0.08030116307981974
030235,"Fish: fresh or chilled, Atlantic and Pacific bluefin tunas (",0,0,19.7286971401297,0.03447911320238872,12.195230337055671,5.429345628954441,1.7283196729444178e-05,0.20044052863436124,0.06445829225946406
030236,"Fish: fresh or chilled, southern bluefin tunas (Thunnus macc",1,1,17.827796745459118,-0.031696265070044805,10.254222654020925,5.429345628954441,0.0016416418317566424,0.9977973568281938,-0.010787431855885885
030239,"Fish: fresh or chilled, tuna, n.e.c. in item no. 0302.3, exc",2,2,18.982426539319057,-0.015731858175471236,11.398194931289066,5.429345628954441,0.001053648564198962,0.20154185022026433,-0.03365001062974008
030241,"Fish: fresh or chilled, herrings (Clupea harengus, Clupea pa",0,0,19.35390936193782,-0.01690958908926854,11.814184183359774,5.429345628954441,0.0,0.2026431718061674,-0.03572753388173002
030242,"Fish: fresh or chilled, anchovies (Engraulis spp.), excludin",0,0,18.70635050476751,-0.029862351136505594,11.219161894659475,5.429345628954441,0.0,0.2026431718061674,0.014548847685868362
030243,"Fish: fresh or chilled, sardines (Sardina pilchardus, Sardin",0,0,19.092137430146472,0.018765157523935483,11.619124265523533,5.429345628954441,3.50138789502162e-07,0.20209251101321585,-0.02515585389245237
030244,"Fish: fresh or chilled, mackerel (Scomber scombrus, Scomber ",0,0,20.008485078357452,0.006407800393405938,12.460142405485115,5.429345628954441,0.0,0.2026431718061674,0.002309553709844621
030245,"Fish: fresh or chilled, jack and horse mackerel (Trachurus s",0,0,18.97401668945404,0.07761251953671788,11.425293141463275,5.429345628954441,0.0,0.2026431718061674,-0.0020449948916808573
030246,"Fish: fresh or chilled, cobia (Rachycentron canadum), exclud",1,1,17.193763810970058,0.23945639132093133,9.45162015329744,5.429345628954441,0.0,0.900330396475771,0.21834909527352578
030247,"Fish: fresh or chilled, swordfish (Xiphias gladius), excludi",0,0,19.467483694220903,0.006545118358615376,11.925836842317537,5.429345628954441,4.966149025562103e-08,0.20209251101321585,0.02347863847353135
030251,"Fish: fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus",0,0,20.779385203666372,0.017941585485332534,13.280274519899713,5.429345628954441,0.0,0.2026431718061674,0.049541075167585866
030252,"Fish: fresh or chilled, haddock (Melanogrammus aeglefinus), ",0,0,19.20828769469358,0.019189869174549234,11.69179570090947,5.429345628954441,0.0,0.2026431718061674,0.003357831112556344
