rank,year,forecast_horizon,country_name,iso3,j,k,description_short,forecasted_value,latest_historical_demand,latest_alg_export_v,predicted_growth_abs,predicted_growth_pct,global_demand_rank,rca,market_penetration,low_market_penetration_score,forecast_opportunity_score,model_used,is_hydrocarbon,forecast_scope,reason_or_interpretation
897,2026,3,United Kingdom,GBR,826,210690,Food preparations: n.e.c. in item no. 2106.10,2130148.2977457955,1940770.102,1.173,189378.1957457955,9.757889177633029,0.990473865019856,0.0050650752571915,6.043992530548577e-07,0.9999993956007469,0.3822644452512429,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
898,2026,3,France,FRA,251,210690,Food preparations: n.e.c. in item no. 2106.10,1805455.4945230675,1632526.948,216.177,172928.54652306717,10.59269170012299,0.990473865019856,0.0050650752571915,0.0001324186410918,0.9998675813589082,0.38223997750579647,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
899,2026,3,Ireland,IRL,372,848620,Machines and apparatus of a kind used solely or principally ,1823532.0810086704,2018281.925,0.0,-194749.8439913297,-9.649288416004104,0.9920135109013032,,0.0,1.0,0.3821831255167719,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
900,2025,2,Australia,AUS,36,210690,Food preparations: n.e.c. in item no. 2106.10,1680043.56585889,1515405.12,0.0,164638.44585888996,10.86431896566972,0.990473865019856,0.0050650752571915,0.0,1.0,0.3821279599218709,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
901,2024,1,China,CHN,156,852990,Reception and transmission apparatus: for use with the appar,8357617.570607361,8965656.176,0.0,-608038.6053926395,-6.781863964628567,0.9873945732569614,0.0061086604437493,0.0,1.0,0.3820581567454845,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
902,2025,2,USA,USA,842,950300,"Tricycles, scooters, pedal cars and similar wheeled toys: do",13693947.139584243,16678915.44,0.0,-2984968.300415756,-17.896657076737096,0.9900889535494942,0.0003212903647492,0.0,1.0,0.38180379741426373,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
903,2025,2,Ireland,IRL,372,848620,Machines and apparatus of a kind used solely or principally ,1819210.9017964257,2018281.925,0.0,-199071.02320357435,-9.863390279510844,0.9920135109013032,,0.0,1.0,0.3816876703602696,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
904,2025,2,Japan,JPN,392,210690,Food preparations: n.e.c. in item no. 2106.10,966531.03502698,860535.495,0.0,105995.54002698,12.31739313983556,0.990473865019856,0.0050650752571915,0.0,1.0,0.38125000637018513,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
905,2025,2,Italy,ITA,380,901890,"Medical, surgical or dental instruments and appliances: n.e.",2016302.8768521785,1818615.79,4.422,197687.0868521782,10.870195229756485,0.9923984223716652,0.0022967341751617,2.43151963395193e-06,0.999997568480366,0.38118503503337814,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
906,2026,3,Malaysia,MYS,458,260111,Iron ores and concentrates: non-agglomerated,2114803.7444423987,2048677.159,0.0,66126.58544239867,3.227769936902912,0.9970173600160068,0.0152378736537231,0.0,1.0,0.3811067016670151,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
907,2024,1,Japan,JPN,392,850440,Electrical static converters,3189668.135801684,2950670.068,0.0,238998.06780168368,8.09978961706415,0.9952852583993788,0.0010363946534344,0.0,1.0,0.3808846287119876,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
908,2024,1,Spain,ESP,724,870840,Vehicle parts: gear boxes and parts thereof,2788650.6874474445,2536237.442,0.0,252413.24544744476,9.952271868062926,0.9922059666364842,9.192471266073504e-06,0.0,1.0,0.3808432602550654,random_forest,False,non_hydrocarbon_diversification,"Strong global demand, low current Algerian market penetration."
