j,k,iso3,country_name,description_short,series_id,t,actual,model,prediction
124,870840,CAN,Canada,Vehicle parts: gear boxes and parts thereof,124__870840,2023,2796284.9930000002,simple_exponential_smoothing,2114050.4842451173
124,870899,CAN,Canada,Vehicle parts and accessories: n.e.c. in heading no. 8708,124__870899,2022,3317548.071,naive_last_value,2771706.641
124,870899,CAN,Canada,Vehicle parts and accessories: n.e.c. in heading no. 8708,124__870899,2022,3317548.071,moving_average_3,3021306.6456666663
124,870899,CAN,Canada,Vehicle parts and accessories: n.e.c. in heading no. 8708,124__870899,2022,3317548.071,trend_adjusted_naive,2796144.8770945454
124,870899,CAN,Canada,Vehicle parts and accessories: n.e.c. in heading no. 8708,124__870899,2022,3317548.071,simple_exponential_smoothing,2952315.5930878907
124,870899,CAN,Canada,Vehicle parts and accessories: n.e.c. in heading no. 8708,124__870899,2023,4338919.74,naive_last_value,3317548.071
124,870899,CAN,Canada,Vehicle parts and accessories: n.e.c. in heading no. 8708,124__870899,2023,4338919.74,moving_average_3,2929728.1956666666
124,870899,CAN,Canada,Vehicle parts and accessories: n.e.c. in heading no. 8708,124__870899,2023,4338919.74,trend_adjusted_naive,3405744.017787662
124,870899,CAN,Canada,Vehicle parts and accessories: n.e.c. in heading no. 8708,124__870899,2023,4338919.74,simple_exponential_smoothing,3134931.8320439453
124,880330,CAN,Canada,Aircraft and spacecraft: parts of aeroplanes or helicopters ,124__880330,2022,3426893.459,naive_last_value,2996675.2
124,880330,CAN,Canada,Aircraft and spacecraft: parts of aeroplanes or helicopters ,124__880330,2022,3426893.459,moving_average_3,3189377.2686666665
124,880330,CAN,Canada,Aircraft and spacecraft: parts of aeroplanes or helicopters ,124__880330,2022,3426893.459,trend_adjusted_naive,3181635.693737643
124,880330,CAN,Canada,Aircraft and spacecraft: parts of aeroplanes or helicopters ,124__880330,2022,3426893.459,simple_exponential_smoothing,3043140.151166016
124,880330,CAN,Canada,Aircraft and spacecraft: parts of aeroplanes or helicopters ,124__880330,2023,3673278.999,naive_last_value,3426893.459
124,880330,CAN,Canada,Aircraft and spacecraft: parts of aeroplanes or helicopters ,124__880330,2023,3673278.999,moving_average_3,3082011.939
124,880330,CAN,Canada,Aircraft and spacecraft: parts of aeroplanes or helicopters ,124__880330,2023,3673278.999,trend_adjusted_naive,3638407.8420612463
124,880330,CAN,Canada,Aircraft and spacecraft: parts of aeroplanes or helicopters ,124__880330,2023,3673278.999,simple_exponential_smoothing,3235016.8050830076
124,950300,CAN,Canada,"Tricycles, scooters, pedal cars and similar wheeled toys: do",124__950300,2022,1982665.479,naive_last_value,1685039.538
124,950300,CAN,Canada,"Tricycles, scooters, pedal cars and similar wheeled toys: do",124__950300,2022,1982665.479,moving_average_3,1532761.7046666667
124,950300,CAN,Canada,"Tricycles, scooters, pedal cars and similar wheeled toys: do",124__950300,2022,1982665.479,trend_adjusted_naive,1682209.844460234
124,950300,CAN,Canada,"Tricycles, scooters, pedal cars and similar wheeled toys: do",124__950300,2022,1982665.479,simple_exponential_smoothing,1592680.859296875
124,950300,CAN,Canada,"Tricycles, scooters, pedal cars and similar wheeled toys: do",124__950300,2023,1627328.117,naive_last_value,1982665.479
124,950300,CAN,Canada,"Tricycles, scooters, pedal cars and similar wheeled toys: do",124__950300,2023,1627328.117,moving_average_3,1707701.2403333334
124,950300,CAN,Canada,"Tricycles, scooters, pedal cars and similar wheeled toys: do",124__950300,2023,1627328.117,trend_adjusted_naive,2295501.3726209207
124,950300,CAN,Canada,"Tricycles, scooters, pedal cars and similar wheeled toys: do",124__950300,2023,1627328.117,simple_exponential_smoothing,1787673.1691484377
12,100199,DZA,Algeria,"Cereals: wheat and meslin, other than durum wheat, other tha",12__100199,2022,2154572.89,naive_last_value,1831995.758
12,100199,DZA,Algeria,"Cereals: wheat and meslin, other than durum wheat, other tha",12__100199,2022,2154572.89,moving_average_3,1475443.5383333333
12,100199,DZA,Algeria,"Cereals: wheat and meslin, other than durum wheat, other tha",12__100199,2022,2154572.89,trend_adjusted_naive,2214076.471670437
12,100199,DZA,Algeria,"Cereals: wheat and meslin, other than durum wheat, other tha",12__100199,2022,2154572.89,simple_exponential_smoothing,1595140.30440625
12,100199,DZA,Algeria,"Cereals: wheat and meslin, other than durum wheat, other tha",12__100199,2023,1057189.22,naive_last_value,2154572.89
12,100199,DZA,Algeria,"Cereals: wheat and meslin, other than durum wheat, other tha",12__100199,2023,1057189.22,moving_average_3,1802076.9463333332
12,100199,DZA,Algeria,"Cereals: wheat and meslin, other than durum wheat, other tha",12__100199,2023,1057189.22,trend_adjusted_naive,2603930.233689972
12,100199,DZA,Algeria,"Cereals: wheat and meslin, other than durum wheat, other tha",12__100199,2023,1057189.22,simple_exponential_smoothing,1874856.597203125
156,100199,CHN,China,"Cereals: wheat and meslin, other than durum wheat, other tha",156__100199,2022,3258047.389,naive_last_value,2203645.876
156,100199,CHN,China,"Cereals: wheat and meslin, other than durum wheat, other tha",156__100199,2022,3258047.389,moving_average_3,1595009.1693333334
156,100199,CHN,China,"Cereals: wheat and meslin, other than durum wheat, other tha",156__100199,2022,3258047.389,trend_adjusted_naive,2593765.7527013
156,100199,CHN,China,"Cereals: wheat and meslin, other than durum wheat, other tha",156__100199,2022,3258047.389,simple_exponential_smoothing,1740392.4899589845
156,100199,CHN,China,"Cereals: wheat and meslin, other than durum wheat, other tha",156__100199,2023,3329663.688,naive_last_value,3258047.389
156,100199,CHN,China,"Cereals: wheat and meslin, other than durum wheat, other tha",156__100199,2023,3329663.688,moving_average_3,2444631.975666667
156,100199,CHN,China,"Cereals: wheat and meslin, other than durum wheat, other tha",156__100199,2023,3329663.688,trend_adjusted_naive,4398363.97515
156,100199,CHN,China,"Cereals: wheat and meslin, other than durum wheat, other tha",156__100199,2023,3329663.688,simple_exponential_smoothing,2499219.939479492
156,120190,CHN,China,"Soya beans: other than seed, whether or not broken",156__120190,2022,55389077.504,naive_last_value,46201420.508
156,120190,CHN,China,"Soya beans: other than seed, whether or not broken",156__120190,2022,55389077.504,moving_average_3,38471651.50266667
156,120190,CHN,China,"Soya beans: other than seed, whether or not broken",156__120190,2022,55389077.504,trend_adjusted_naive,50486930.01868832
156,120190,CHN,China,"Soya beans: other than seed, whether or not broken",156__120190,2022,55389077.504,simple_exponential_smoothing,40813467.96439063
156,120190,CHN,China,"Soya beans: other than seed, whether or not broken",156__120190,2023,56795430.754,naive_last_value,55389077.504
156,120190,CHN,China,"Soya beans: other than seed, whether or not broken",156__120190,2023,56795430.754,moving_average_3,45910379.26433334
156,120190,CHN,China,"Soya beans: other than seed, whether or not broken",156__120190,2023,56795430.754,trend_adjusted_naive,66403800.4245538
